4933401J01Rik chr1:3073252-3074322
Gm27211 chr9:73192482-73268115
Unc13c chr9:73479421-73968966
Gm37611 chr9:73551842-73553870
Gm25105 chr9:73795127-73795257
Gm37326 chr9:73857107-73860178
n-R5s86 chr9:74059338-74059457
Wdr72 chr9:74110355-74283203
Gm24141 chr9:74362609-74362724
Gm28622 chr9:74560581-74561378
Gm22315 chr9:74782069-74782212
Gm16551 chr9:74847982-74852873
Gm20649 chr9:74848462-74891476
Gm28182 chr9:74852908-74855385
Onecut1 chr9:74861920-74891781
Fam214a chr9:74953052-75032468
Arpp19 chr9:75037613-75060313
Myo5a chr9:75071187-75223688
Myo5c chr9:75232013-75305451
Gnb5 chr9:75311394-75344964
Bcl2l10 chr9:75347757-75351632
Mapk6 chr9:75386901-75410005
4933433G15Rik chr9:75410183-75417709
A130057D12Rik chr9:75441121-75441652
Leo1 chr9:75441523-75466432
Tmod3 chr9:75497795-75559657
Tmod2 chr9:75565620-75611325
Lysmd2 chr9:75625731-75637773
Scg3 chr9:75643263-75683996
Gm37871 chr9:75666651-75667339
Bmp5 chr9:75775363-75900310
Gm26903 chr9:75897842-76015192
Gm44355 chr9:75911421-75911525
Gm25300 chr9:75970943-75971027
Hmgcll1 chr9:76014854-76136350
Gm38083 chr9:76067448-76070946
Gfral chr9:76164101-76213657
Hcrtr2 chr9:76225879-76323856
Gm27234 chr9:76319576-76320846
Fam83b chr9:76490053-76567116
Gm22938 chr9:76716627-76716747
Gm37408 chr9:76751435-76754706
Gm23791 chr9:76773231-76773524
Tinag chr9:76951692-77045794
Gm19541 chr9:77046681-77051953
Mlip chr9:77102080-77347916
Gm38254 chr9:77302066-77303075
4930590H14Rik chr9:77357351-77357902
5730403I07Rik chr9:77366411-77399418
Lrrc1 chr9:77430822-77544870
Gm19569 chr9:77544958-77546467
Gm25250 chr9:77577713-77577789
Klhl31 chr9:77636499-77660127
Gclc chr9:77754534-77794485
Elovl5 chr9:77917363-77984519
Gm23609 chr9:78013971-78014098
Gcm1 chr9:78051957-78065624
Fbxo9 chr9:78081498-78109065
Ick chr9:78109191-78172107
Rn7sk chr9:78175302-78175633
C920006O11Rik chr9:78175913-78178879
Gsta4 chr9:78191965-78209348
Gsta1 chr9:78230655-78242684
Gm10639 chr9:78289922-78305525
Omt2a chr9:78311971-78314797
Gm8074 chr9:78321298-78322357
Omt2b chr9:78327588-78329620
Gsta2 chr9:78331017-78347158
Dppa5a chr9:78367051-78368177
Ooep chr9:78376108-78378725
4930542C12Rik chr9:78394955-78396158
Ddx43 chr9:78395776-78423587
Mb21d1 chr9:78430525-78443237
Gm17324 chr9:78447864-78448786
Mto1 chr9:78448207-78474152
Eef1a1 chr9:78478448-78481724
Gm26377 chr9:78478527-78478635
Slc17a5 chr9:78536487-78588041
Cd109 chr9:78615545-78716253
4921509A06Rik chr9:78629373-78630128
Gm28620 chr9:79238619-79239058
Col12a1 chr9:79598990-79718720
4930562D21Rik chr9:79688775-79690907
Cox7a2 chr9:79755240-79759853
Tmem30a chr9:79768942-79793507
4930429F24Rik chr9:79793640-79803235
Filip1 chr9:79815050-79977804
Gm3211 chr9:79913199-79913631
Gm25433 chr9:80037428-80037714
Senp6 chr9:80066902-80144953
Gm17477 chr9:80118894-80121937
Myo6 chr9:80165030-80311729
Gm27227 chr9:80263305-80265450
Impg1 chr9:80313329-80465481
Gm27224 chr9:80802650-80864861
Gm26713 chr9:81175456-81203591
Gm27226 chr9:81455396-81460966
Htr1b chr9:81628290-81633828
D430036J16Rik chr9:81631929-81645156
Gm26907 chr9:81776694-81858891
Mei4 chr9:81863669-82206007
Gm37837 chr9:82028579-82029183
Gm23748 chr9:82247847-82247978
1700063H06Rik chr9:82260292-82263485
Gm22836 chr9:82439413-82439474
Gm24393 chr9:82463355-82463452
Irak1bp1 chr9:82829539-82847687
Phip chr9:82866158-82975516
Hmgn3 chr9:83109947-83146685
Gm2065 chr9:83114107-83116864
Gm29054 chr9:83145945-83147281
Gm38279 chr9:83174646-83175777
Gm27216 chr9:83240490-83254540
Lca5 chr9:83391363-83441127
Gm2087 chr9:83431546-83454573
Gm37307 chr9:83447558-83450179
Sh3bgrl2 chr9:83548326-83638801
Gm2109 chr9:83691474-83693223
Elovl4 chr9:83778691-83806252
Ttk chr9:83834689-83872389
Bckdhb chr9:83925144-84124240
Gm29163 chr9:83938368-83938475
Gm26146 chr9:84188354-84188539
Gm26126 chr9:84649495-84649659
4930554C24Rik chr9:84774397-84784351
Gm28625 chr9:84890544-84890749
Gm11114 chr9:85312772-85312860
Fam46a chr9:85320438-85327348
Gm36927 chr9:85342510-85344351
Gm25125 chr9:85472733-85472869
Ibtk chr9:85687359-85749334
4933431K14Rik chr9:85749077-85750429
Gm22830 chr9:85772350-85772480
9330154J02Rik chr9:85820301-85844323
Tpbg chr9:85842379-85847040
Ube2cbp chr9:86307305-86464950
Dopey1 chr9:86467153-86555923
Gm17530 chr9:86546681-86547153
Pgm3 chr9:86554376-86571828
Rwdd2a chr9:86571990-86574899
Me1 chr9:86581370-86695953
Gm38230 chr9:86684049-86685208
A330041J22Rik chr9:86695459-86701253
Gm25949 chr9:86699042-86699156
Gm22138 chr9:86703818-86703946
Gm37484 chr9:86712003-86714526
Prss35 chr9:86743648-86758443
Snap91 chr9:86765922-86880449
Gm37941 chr9:86784546-86786855
Ripply2 chr9:87015536-87019917
Cyb5r4 chr9:87022013-87077774
Mrap2 chr9:87144305-87184045
Gm37012 chr9:87188335-87189413
Cep162 chr9:87189576-87255536
Gm24649 chr9:87200108-87200242
Gm37375 chr9:87498111-87498498
Tbx18 chr9:87702799-87731260
D030062O11Rik chr9:87729284-87732090
Gm37374 chr9:87738191-87740020
Gm25528 chr9:87888455-87888587
Gm23176 chr9:88021419-88021549
Gm28231 chr9:88259894-88263035
Nt5e chr9:88327196-88372092
Snx14 chr9:88376749-88438958
Gm20537 chr9:88407431-88456616
Gm28229 chr9:88441499-88443652
Syncrip chr9:88447008-88482559
Snhg5 chr9:88521049-88522929
Snord50a chr9:88521528-88521600
Snord50b chr9:88521796-88521868
Gm22985 chr9:88526678-88526794
Zfp949 chr9:88548019-88571061
Gm26461 chr9:88553235-88553525
Trim43a chr9:88580890-88588819
9430037G07Rik chr9:88595324-88599243
Gm23017 chr9:88598347-88598419
Gm26567 chr9:88599655-88604528
Gm29415 chr9:88613452-88621914
Gm38214 chr9:88680938-88681926
Gm37226 chr9:88682931-88686186
Mthfsl chr9:88688601-88719813
Gm10634 chr9:88719628-88806264
Bcl2a1d chr9:88723284-88731914
Gm37560 chr9:88731997-88732997
Gm26082 chr9:88770354-88770481
Gm37614 chr9:88826603-88826813
Gm29562 chr9:88827521-88828425
Trim43c chr9:88839163-88848190
9330159M07Rik chr9:88841797-88858853
Gm26135 chr9:88857692-88857764
Gm26611 chr9:88859010-88883554
Gm2396 chr9:88878993-88937342
Gm23707 chr9:88917831-88917956
Bcl2a1a chr9:88956899-88962419
Gm37833 chr9:88980920-88984176
Gm37993 chr9:88985190-88986178
Gm37471 chr9:89074392-89074785
Gm24463 chr9:89075335-89075407
Trim43b chr9:89084623-89092835
4930579C12Rik chr9:89113110-89177887
Gm26423 chr9:89158998-89159126
Bcl2a1b chr9:89199208-89207827
Gm29094 chr9:89199378-89215471
Mthfs chr9:89211156-89240240
Gm38091 chr9:89259524-89263395
AF529169 chr9:89587215-89623125
Tmed3 chr9:89699204-89705068
Ankrd34c chr9:89725238-89738475
Mir184 chr9:89802259-89802328
1700017I07Rik chr9:89802869-89806055
4930524O08Rik chr9:89826518-89864028
Rasgrf1 chr9:89909907-90026977
Gm23759 chr9:90031306-90031574
Ctsh chr9:90054266-90076089
Morf4l1 chr9:90091664-90114774
Gm26882 chr9:90094177-90095902
9430062P05Rik chr9:90156459-90159804
Adamts7 chr9:90163068-90208071
Tbc1d2b chr9:90202026-90270771
Gm22717 chr9:90315909-90316080
Gm22866 chr9:90351994-90352171
Gm28703 chr9:90825301-90828860
Gm37665 chr9:90863158-90863307
Gm29408 chr9:90938979-90939195
Gm36960 chr9:91128483-91130518
Gm37812 chr9:91270929-91273404
Gm37457 chr9:91325415-91327848
Gm37040 chr9:91335243-91337067
Gm28652 chr9:91337600-91340878
A730094K22Rik chr9:91350213-91350953
Zic1 chr9:91358057-91365810
Zic4 chr9:91368969-91389348
Gm37477 chr9:91380518-91381402
Gm29478 chr9:91404473-91562818
Gm37987 chr9:91757321-91758146
Gm26101 chr9:91839769-91839874
RP24-90N20.1 chr9:91922663-91961118
Plscr5 chr9:92192935-92209772
Plscr1 chr9:92249749-92272278
Mir6386 chr9:92267257-92267361
Plscr2 chr9:92275601-92297752
Gm29139 chr9:92301962-92305144
1700057G04Rik chr9:92309376-92357876
Plscr4 chr9:92457372-92492456
Gm25417 chr9:92527577-92527708
Gm38391 chr9:92538800-92542869
Plod2 chr9:92542222-92608428
4933400C23Rik chr9:92718715-92795711
Gm28054 chr9:92895831-92915791
1700034K08Rik chr9:92979913-93005733
Gm24200 chr9:94284495-94284652
1190002N15Rik chr9:94517863-94538081
Gm24178 chr9:94644018-94644114
Gm29395 chr9:94667207-94668818
Slc9a9 chr9:94669908-95230445
Gm16262 chr9:94695703-94702319
Mir7656 chr9:94751828-94751890
Chst2 chr9:95399291-95406722
Gm37805 chr9:95407460-95408554
U2surp chr9:95456897-95511996
Gm28424 chr9:95512150-95513469
Paqr9 chr9:95559656-95568023
Gm16126 chr9:95618910-95648471
Gm25582 chr9:95624501-95624611
Gm16127 chr9:95636971-95638265
Pcolce2 chr9:95637600-95698096
Trpc1 chr9:95705081-95750358
Pls1 chr9:95752641-95845286
1700065D16Rik chr9:95855417-95858322
Atr chr9:95857596-95951644
Gm24004 chr9:95934612-95934790
Gm16794 chr9:95942044-95959393
Xrn1 chr9:95954759-96057803
C78334 chr9:96017941-96024740
Gm28085 chr9:96027100-96040673
Gm38375 chr9:96028623-96030850
Gk5 chr9:96119361-96184608
Tfdp2 chr9:96196274-96323646
Gm37195 chr9:96219129-96222147
Atp1b3 chr9:96332654-96364442
BC043934 chr9:96435782-96438138
Rnf7 chr9:96470936-96478675
Gm28729 chr9:96486000-96525264
Gm27289 chr9:96495131-96495213
Rasa2 chr9:96539299-96631617
n-R5s87 chr9:96549593-96549709
Zbtb38 chr9:96682769-96752831
A930006L05Rik chr9:96705827-96711449
C430002N11Rik chr9:96765574-96782477
Pxylp1 chr9:96823335-96889474
Spsb4 chr9:96943481-97018843
Gm16010 chr9:97015965-97022043
Gm19325 chr9:97047443-97067307
Gm26767 chr9:97068182-97073429
Slc25a36 chr9:97074960-97111157
Gm16185 chr9:97085325-97088610
A030012G06Rik chr9:97289185-97291065
Trim42 chr9:97349561-97369958
Gm15891 chr9:97349615-97369945
Gm25607 chr9:97439500-97439627
Clstn2 chr9:97444394-98033181
Gm37661 chr9:97928605-97930155
4921534H16Rik chr9:98003419-98012175
2610303G11Rik chr9:98186526-98187153
Nmnat3 chr9:98296582-98420438
Rbp1 chr9:98422960-98446575
Rbp2 chr9:98486114-98509781
Gm37113 chr9:98493967-98495124
4930579K19Rik chr9:98562228-98563592
Copb2 chr9:98563730-98588382
Mrps22 chr9:98588729-98601660
Gm37637 chr9:98590494-98591750
Gm27919 chr9:98705729-98705836
Pisrt1 chr9:98705751-98706266
E330023G01Rik chr9:98748598-98820087
Gm37282 chr9:98767652-98767816
Gm37917 chr9:98767929-98768321
Gm38226 chr9:98771104-98771625
Prr23a1 chr9:98842502-98843385
Prr23a2 chr9:98856493-98857374
Prr23a3 chr9:98864766-98866583
7420426K07Rik chr9:98903118-98904622
Foxl2os chr9:98949780-98955299
Foxl2 chr9:98955606-98956847
Faim chr9:98986372-99002021
Gm1123 chr9:99006789-99035715
Pik3cb chr9:99036653-99140087
Faiml chr9:99229375-99237239
Gm38327 chr9:99241850-99243605
Cep70 chr9:99243441-99300404
4930422M22Rik chr9:99299006-99304675
Gm37249 chr9:99307582-99310451
Esyt3 chr9:99309962-99358518
1700008A23Rik chr9:99322825-99323516
Gm28087 chr9:99367032-99368490
Mras chr9:99385419-99437381
Armc8 chr9:99478371-99568899
Dbr1 chr9:99575798-99584501
A4gnt chr9:99612501-99622367
Dzip1l chr9:99629541-99669256
Cldn18 chr9:99689460-99717267
Gm16004 chr9:99708398-99756043
Gm23949 chr9:99750390-99750517
Sox14 chr9:99874105-99876170
Gm23594 chr9:99943708-99943842
4930519F24Rik chr9:100022299-100034672
4930540E01Rik chr9:100173000-100174146
Gm28167 chr9:100321610-100323524
Gm28166 chr9:100450321-100451912
Il20rb chr9:100457718-100486788
Nck1 chr9:100492292-100546134
Gm28586 chr9:100530615-100531071
Slc35g2 chr9:100552187-100571090
Stag1 chr9:100643447-100958545
Gm37204 chr9:100665838-100669799
Gm38297 chr9:100703212-100704269
Gm3081 chr9:100877090-100880115
Pccb chr9:100982031-101034898
Msl2 chr9:101074100-101104800
Gm37553 chr9:101092976-101094578
Ppp2r3a chr9:101105083-101251795
Gm37962 chr9:101113804-101115838
Gm37621 chr9:101116700-101122231
Gm37953 chr9:101150311-101152195
Gm38344 chr9:101186555-101187908
Gm37314 chr9:101188597-101191282
Gm24338 chr9:101222951-101223078
Gm28979 chr9:101342193-101348017
Gm24638 chr9:101392978-101393110
Gm29521 chr9:101770371-101862447
Gm37460 chr9:101911007-101913256
Ephb1 chr9:101922127-102354693
9630041A04Rik chr9:101938480-101943219
Gm37683 chr9:101989259-101990307
Gm37562 chr9:102052229-102056557
n-R5s88 chr9:102127887-102128005
Gm29388 chr9:102151241-102153717
Gm37945 chr9:102172737-102177104
Gm37260 chr9:102273735-102274986
Mir7243 chr9:102304923-102304975
Gm26846 chr9:102345902-102354694
Gm22894 chr9:102373117-102373220
Ky chr9:102505749-102546239
Gm25669 chr9:102547765-102547877
Gm29387 chr9:102559299-102570708
Cep63 chr9:102586577-102626534
Anapc13 chr9:102626295-102634425
4930533D04Rik chr9:102692884-102693834
Gm36957 chr9:102698178-102701002
Amotl2 chr9:102716801-102733418
Gm5627 chr9:102739647-102756685
Gm36958 chr9:102764634-102766509
Gm28621 chr9:102771550-102771810
Ryk chr9:102834916-102907953
Gm25842 chr9:102991894-102992216
Slco2a1 chr9:103008001-103090451
n-R5s89 chr9:103011416-103011520
Gm22595 chr9:103022336-103022466
Rab6b chr9:103111806-103185276
Gm37166 chr9:103120367-103122841
Srprb chr9:103188031-103202137
Gm20425 chr9:103190207-103230307
Trf chr9:103204000-103230444
1300017J02Rik chr9:103250520-103288297
Topbp1 chr9:103305214-103350428
Cdv3 chr9:103353093-103365840
5830418P13Rik chr9:103423577-103461260
Bfsp2 chr9:103424919-103480420
Gm37938 chr9:103430779-103432987
Gm37546 chr9:103443497-103443815
Gm16252 chr9:103472083-103492930
Tmem108 chr9:103482946-103761837
Gm26360 chr9:103526816-103526919
Gm37649 chr9:103541302-103543534
4932413F04Rik chr9:103557089-103565891
Gm38032 chr9:103598575-103600164
Gm29154 chr9:103919288-103960135
Nphp3 chr9:104002545-104043818
Gm28305 chr9:104040661-104075879
Gm37200 chr9:104043604-104045776
Uba5 chr9:104046598-104063134
Gm37750 chr9:104053326-104053455
Acad11 chr9:104063376-104127656
Ackr4 chr9:104098140-104126933
Dnajc13 chr9:104151281-104262930
Gm37563 chr9:104262104-104263617
Acpp chr9:104288315-104337728
Gm37188 chr9:104301927-104304909
Gm28548 chr9:104361831-104385031
Mir2136 chr9:104426112-104426187
Gm25904 chr9:104481367-104481510
Cpne4 chr9:104547285-105034544
Gm23391 chr9:104994915-104995019
Mrpl3 chr9:105053238-105079888
Gm38077 chr9:105064776-105068021
Nudt16 chr9:105129331-105131805
1700080E11Rik chr9:105143341-105145092
Nek11 chr9:105162155-105395524
Gm37582 chr9:105163124-105164533
Gm20643 chr9:105208195-105211863
Gm15619 chr9:105333512-105348380
Aste1 chr9:105395391-105405758
Atp2c1 chr9:105403538-105521257
Gm19667 chr9:105470519-105480194
Pik3r4 chr9:105643029-105687657
Gm22720 chr9:105673464-105673551
Col6a6 chr9:105687808-105828160
Gm38314 chr9:105727784-105728409
Col6a5 chr9:105856069-105960643
Col6a4 chr9:105990460-106096783
Gm24631 chr9:106001717-106001798
Gm36993 chr9:106095473-106098453
Gm29208 chr9:106125837-106127060
D030055H07Rik chr9:106148686-106159751
Glyctk chr9:106152856-106158138
Mir135a-1 chr9:106154123-106154213
Wdr82 chr9:106170927-106191136
Mirlet7g chr9:106178839-106178927
Ppm1m chr9:106194171-106199275
Twf2 chr9:106203107-106215389
Tlr9 chr9:106222597-106226883
Alas1 chr9:106233454-106248126
4930500F10Rik chr9:106247959-106249413
Poc1a chr9:106281060-106349892
Gm29123 chr9:106309943-106335833
Dusp7 chr9:106368631-106375724
Rpl29 chr9:106429453-106431568
Acy1 chr9:106432980-106438319
Abhd14a chr9:106440050-106447678
Abhd14b chr9:106448639-106452922
Gm28959 chr9:106452180-106452918
Pcbp4 chr9:106453889-106464012
Gpr62 chr9:106463961-106465938
Parp3 chr9:106470321-106476949
Rrp9 chr9:106477268-106485424
Iqcf1 chr9:106499966-106502249
Iqcf5 chr9:106514572-106516010
Iqcf3 chr9:106543385-106561631
Iqcf4 chr9:106568318-106570996
Iqcf6 chr9:106626581-106627675
Gm26185 chr9:106636317-106636583
Gm28111 chr9:106640927-106643564
Grm2 chr9:106643116-106656082
Tex264 chr9:106658745-106685915
Rad54l2 chr9:106688081-106789194
Gm22384 chr9:106812494-106812598
Vprbp chr9:106821873-106880992
Gm37612 chr9:106870673-106871501
Rbm15b chr9:106880917-106887428
Manf chr9:106887414-106891979
4930524O07Rik chr9:106891546-106895182
Dock3 chr9:106892824-107231909
Gm22454 chr9:107096950-107097057
Gm23595 chr9:107164976-107165106
Gm22238 chr9:107231620-107231708
1700039M15Rik chr9:107241219-107243997
Mapkapk3 chr9:107254926-107289877
Cish chr9:107296025-107302784
Gm17041 chr9:107300379-107301838
Hemk1 chr9:107327083-107338350
6430571L13Rik chr9:107340601-107349692
4930429P21Rik chr9:107351785-107353986
Cacna2d2 chr9:107399611-107529343
Gm17141 chr9:107423856-107430567
Gm17118 chr9:107443949-107445031
Tmem115 chr9:107533944-107538673
Cyb561d2 chr9:107539006-107542193
Nprl2 chr9:107542225-107545706
Zmynd10 chr9:107547297-107551319
Gm34106 chr9:107547568-107550768
Rassf1 chr9:107551554-107562267
Gm9917 chr9:107558808-107568415
Tusc2 chr9:107563254-107566112
Hyal2 chr9:107567944-107572779
Gm16343 chr9:107575819-107587425
Hyal1 chr9:107576926-107581710
Nat6 chr9:107580116-107584050
Hyal3 chr9:107580817-107587359
Ifrd2 chr9:107587641-107593038
Lsmem2 chr9:107593840-107597075
Gm38150 chr9:107594439-107594891
Sema3b chr9:107598216-107609229
Gnai2 chr9:107614124-107635367
Gm19721 chr9:107630775-107632539
Slc38a3 chr9:107650633-107668968
Gnat1 chr9:107674473-107679712
A930036K24Rik chr9:107680081-107681281
Sema3f chr9:107681499-107710475
Rbm5 chr9:107740370-107770996
Gm37850 chr9:107762807-107763587
Rbm6 chr9:107773558-107872829
Gm37436 chr9:107818927-107820012
Mon1a chr9:107888150-107903139
Gm23856 chr9:107905227-107905326
Mst1r chr9:107906872-107920383
Actl11 chr9:107928468-107932461
Gm37974 chr9:107935076-107936394
Camkv chr9:107935673-107949691
Traip chr9:107950955-107972270
Uba7 chr9:107975533-107984056
Gm20661 chr9:107983286-107994562
Fam212a chr9:107984222-107985879
Gm24944 chr9:107987368-107987496
4921523L03Rik chr9:107991683-107995656
Cdhr4 chr9:107992496-107999684
Gm20662 chr9:107997988-108032146
4930535L15Rik chr9:107998115-108002404
Ip6k1 chr9:108002500-108048782
Gm38134 chr9:108010975-108016608
Gmppb chr9:108049241-108052801
Rnf123 chr9:108051533-108083346
Gm20529 chr9:108051674-108058592
Amigo3 chr9:108053158-108055701
Mst1 chr9:108080435-108085003
Mir7088 chr9:108081497-108081583
Apeh chr9:108085412-108094606
Bsn chr9:108096021-108190384
AC137678.1 chr9:108103128-108103246
4930447F24Rik chr9:108136854-108138567
Gm37247 chr9:108188997-108189727
Gm37230 chr9:108190530-108191348
Dag1 chr9:108204633-108263958
Nicn1 chr9:108290428-108296498
Amt chr9:108296869-108302302
Tcta chr9:108302957-108306160
Rhoa chr9:108306128-108337934
Gm37401 chr9:108337088-108338273
Gpx1 chr9:108339053-108340343
Usp4 chr9:108347852-108392545
Gm37963 chr9:108389081-108390205
1700102P08Rik chr9:108392804-108410934
Ccdc36 chr9:108403610-108428484
Gm25456 chr9:108430043-108430152
BC048562 chr9:108436481-108446086
Klhdc8b chr9:108447635-108461581
Ccdc71 chr9:108460526-108465938
Gm37475 chr9:108469345-108470360
Lamb2 chr9:108479856-108490530
Usp19 chr9:108490601-108502337
Qars chr9:108507705-108515941
Qrich1 chr9:108517102-108560163
Gm38366 chr9:108530831-108532765
Gm37678 chr9:108544213-108545359
Impdh2 chr9:108560285-108565584
Ndufaf3 chr9:108565536-108567434
4833445I07Rik chr9:108567532-108569174
Gm24083 chr9:108568294-108568414
Mir191 chr9:108568318-108568392
Mir425 chr9:108568776-108568861
Dalrd3 chr9:108569885-108572774
Wdr6 chr9:108572310-108578739
P4htm chr9:108578861-108597667
Gm38163 chr9:108584755-108585361
Arih2 chr9:108602941-108649380
Gm26298 chr9:108653607-108653728
Slc25a20 chr9:108662097-108684641
Prkar2a chr9:108692142-108750436
Gm24259 chr9:108738751-108738858
Ip6k2 chr9:108783795-108806337
Gm23034 chr9:108795241-108795388
Nckipsd chr9:108808367-108818844
Gm35025 chr9:108823937-108825098
Gm37714 chr9:108825348-108825690
Celsr3 chr9:108826319-108852969
Gm23156 chr9:108844477-108844563
Slc26a6 chr9:108854036-108912558
Tmem89 chr9:108914618-108915563
Uqcrc1 chr9:108936632-108949623
Gm37284 chr9:108950002-108950541
Col7a1 chr9:108953585-108984875
Mir711 chr9:108969921-108970003
Ucn2 chr9:108986009-108987164
Gm38004 chr9:108991213-108991570
Pfkfb4 chr9:108991777-109032228
Shisa5 chr9:109038564-109057777
Trex1 chr9:109057932-109059734
Gm42641 chr9:109057932-109074071
Atrip chr9:109059746-109074124
Tma7 chr9:109074567-109082587
Ccdc51 chr9:109082492-109092489
Gm7628 chr9:109093843-109097796
Plxnb1 chr9:109095388-109119917
Fbxw21 chr9:109139446-109162041
Fbxw13 chr9:109179226-109195975
Fbxw20 chr9:109217431-109234754
Fbxw14 chr9:109270835-109287676
Gm22821 chr9:109295541-109295648
Fbxw28 chr9:109322885-109339659
Gm25484 chr9:109347523-109347630
Gm24641 chr9:109358228-109358335
Fbxw22 chr9:109378399-109404296
Fbxw16 chr9:109432315-109449124
Gm42494 chr9:109440127-109443178
Gm42493 chr9:109448644-109460105
Fbxw19 chr9:109478574-109495875
Gm42756 chr9:109537099-109552780
Fbxw15 chr9:109552601-109568262
Gm42755 chr9:109572731-109574224
Fbxw24 chr9:109601115-109626057
Fbxw25 chr9:109645121-109664652
Fbxw18 chr9:109676733-109702700
Gm43209 chr9:109702933-109704521
Fbxw26 chr9:109717565-109746089
Fbxw27 chr9:109766052-109790670
Spink8 chr9:109816543-109826633
Nme6 chr9:109832757-109842974
Camp chr9:109847378-109849617
Cdc25a chr9:109875578-109893895
Mir7089 chr9:109889642-109889710
Map4 chr9:109931459-110083955
Gm43732 chr9:109988966-109991834
Gm42433 chr9:110005973-110006913
Gm42432 chr9:110041179-110042796
Dhx30 chr9:110084319-110117830
Gm27855 chr9:110109011-110109139
Gm23377 chr9:110121678-110121816
Smarcc1 chr9:110131979-110240178
Cspg5 chr9:110243782-110262576
Gm43622 chr9:110252125-110254144
Mir6236 chr9:110281286-110281409
Gm42775 chr9:110288951-110293937
Elp6 chr9:110305172-110322102
Gm42638 chr9:110327977-110330564
Scap chr9:110333355-110384950
5830462I19Rik chr9:110372047-110375430
Ptpn23 chr9:110385081-110408213
Ngp chr9:110419746-110423012
Klhl18 chr9:110425925-110476694
Kif9 chr9:110476993-110525179
Setd2 chr9:110532596-110618633
Gm42763 chr9:110543210-110545297
Nradd chr9:110621134-110624452
Nbeal2 chr9:110624788-110654161
Mir8107 chr9:110635998-110636115
Gm42470 chr9:110655678-110656455
Ccdc12 chr9:110656502-110711606
Gm42762 chr9:110669328-110674954
Pth1r chr9:110722084-110747122
Myl3 chr9:110763645-110769798
Prss42 chr9:110798165-110803754
Prss44 chr9:110813993-110817999
Prss43 chr9:110826689-110831839
Prss45 chr9:110834587-110841313
Prss46 chr9:110844505-110856522
Prss50 chr9:110857966-110864629
Tmie chr9:110865710-110880113
Als2cl chr9:110880173-110900530
Gm43127 chr9:110893110-110895899
Gm590 chr9:110914738-110916861
Gm24269 chr9:110925402-110925479
Tdgf1 chr9:110939602-110946158
Lrrc2 chr9:110951544-110984066
Gm43535 chr9:110974431-110974595
Rtp3 chr9:110984934-110989713
1700061E17Rik chr9:110986200-110987804
Gm10030 chr9:110989498-111008029
Ltf chr9:111019270-111042767
Gm43814 chr9:111052780-111053193
Ccrl2 chr9:111054485-111057519
Gm26409 chr9:111075393-111075456
Lrrfip2 chr9:111118110-111225668
Mlh1 chr9:111228254-111271791
Gm24860 chr9:111244591-111244867
Epm2aip1 chr9:111271928-111279093
Trank1 chr9:111311738-111395775
Gm42527 chr9:111411433-111412913
Dclk3 chr9:111439080-111489118
Gm42523 chr9:111544003-111548940
Gm43236 chr9:111561422-111562036
Stac chr9:111561436-111690348
n-R5s90 chr9:111613897-111614015
Arpp21 chr9:112065090-112232501
Mir128-2 chr9:112118635-112118711
2310075C17Rik chr9:112227578-112228242
2900079G21Rik chr9:112234293-112348925
Gm27847 chr9:112489615-112489722
Gm24957 chr9:112522528-112522660
Gm22492 chr9:113403474-113403771
RP23-471H21.1 chr9:113496745-113611783
Pdcd6ip chr9:113651743-113708259
Gm25059 chr9:113776181-113776298
Clasp2 chr9:113812585-113919697
Ubp1 chr9:113930933-113977199
Fbxl2 chr9:113963636-114026761
Susd5 chr9:114057353-114098733
4921528I07Rik chr9:114276682-114317028
Bcl2a1c chr9:114330134-114330578
4930520O04Rik chr9:114368415-114371164
Crtap chr9:114375133-114390675
Glb1 chr9:114401075-114474376
Tmppe chr9:114401094-114411200
Ccr4 chr9:114490315-114496544
Trim71 chr9:114507132-114564369
C130032M10Rik chr9:114515696-114516424
Cnot10 chr9:114585877-114640200
Gm23232 chr9:114602087-114602192
Dync1li1 chr9:114688789-114724302
Cmtm6 chr9:114731202-114749343
Cmtm7 chr9:114756836-114781993
Gm9888 chr9:114780099-114782257
Cmtm8 chr9:114789344-114844152
Gm23889 chr9:114838172-114838276
Gpd1l chr9:114899340-114933987
Osbpl10 chr9:114978568-115232225
Rps27rt chr9:114982370-114982740
Gm4665 chr9:115180403-115186058
Gm26962 chr9:115195452-115196898
Gm27002 chr9:115200397-115203875
Stt3b chr9:115242606-115310421
Mir467h chr9:115381818-115381939
Gm26303 chr9:115381959-115382078
Gm25510 chr9:115382098-115382221
Gm22243 chr9:115411233-115411353
n-R5s92 chr9:115626599-115626718
Gadl1 chr9:115909454-116076176
Gm16142 chr9:115990955-116001788
Tgfbr2 chr9:116087697-116175363
Rbms3 chr9:116572745-117629913
Gm17396 chr9:117252535-117254696
RP23-357C16.1 chr9:117708191-117872584
Gm26614 chr9:117873143-117881202
Gm22008 chr9:117999335-117999430
Azi2 chr9:118040498-118063839
Cmc1 chr9:118064528-118150196
Gm17399 chr9:118150230-118170376
Gm22198 chr9:118287785-118288092
2610509F24Rik chr9:118402464-118403302
Platr11 chr9:118404096-118406099
Gm22479 chr9:118466983-118467064
Eomes chr9:118478211-118486132
RP24-257F22.3 chr9:118485558-118489099
Golga4 chr9:118506266-118582519
RP24-257F22.2 chr9:118584852-118590195
