Myo81F 3R:567076-2532932
CG30284 2R:21650820-21651999
CR43786 2R:21656310-21657180
ND-B12 2R:21658078-21658777
Rae1 2R:21658770-21660007
pirk 2R:21660967-21662995
CR44748 2R:21663160-21663925
CG42362 2R:21664126-21666108
CG42363 2R:21664126-21666108
CG42364 2R:21665940-21666579
CG42365 2R:21666687-21667594
CG42381 2R:21667541-21669916
PIG-M 2R:21667541-21669916
CG42380 2R:21667541-21669916
CG42379 2R:21667541-21669916
NC2alpha 2R:21670152-21671593
CG15676 2R:21671700-21672845
stum 2R:21674901-21685000
eIF3k 2R:21685283-21686201
Tbp 2R:21686192-21687642
CG30285 2R:21687903-21688545
CG10307 2R:21688773-21690253
Tim10 2R:21690215-21691139
CG42497 2R:21690215-21691139
Ppcdc 2R:21691295-21692764
CG42496 2R:21691295-21692764
CngB 2R:21692691-21697152
HmgZ 2R:21697488-21707861
HmgD 2R:21701458-21716727
CR44749 2R:21708945-21709595
CG30403 2R:21709895-21711613
Tango11 2R:21716780-21719963
CG30398 2R:21717804-21718832
LBR 2R:21720495-21724055
CR44750 2R:21727495-21728195
Grx1t 2R:21757345-21757913
CR43983 2R:21762995-21763994
CG43982 2R:21763995-21764695
CR43984 2R:21764996-21765295
CG30395 2R:21765489-21770196
CG4021 2R:21773295-21774876
lox2 2R:21789623-21791580
CG34204 2R:21796395-21796941
CG18735 2R:21798017-21799195
CG4386 2R:21799330-21800904
CR9284 2R:21803402-21804338
CG13492 2R:21820662-21831409
CG34040 2R:21832501-21833551
CG4363 2R:21834230-21835047
CG4377 2R:21835448-21836357
CG4372 2R:21837605-21838798
tRNA:Gly-TCC-2-1 2R:21843097-21843168
tRNA:Gly-TCC-2-2 2R:21848407-21848478
CG9294 2R:21860825-21861994
comr 2R:21864870-21866859
Fili 2R:21872030-21946259
PpN58A 2R:21881352-21882533
CG43742 2R:21935002-21936863
CG13488 2R:21951592-21952562
CR43405 2R:21953615-21954095
CG13494 2R:21954242-21954845
ppk9 2R:21964173-21970664
CG34029 2R:21970767-21971285
CG9304 2R:21973122-21976386
Gr58c 2R:21976662-21977957
Gr58b 2R:21978215-21979677
Gr58a 2R:21979860-21981099
dany 2R:21985626-21986938
CG34370 2R:21987068-22039559
CG9308 2R:22034844-22035666
PpD5 2R:22041667-22042945
CG13500 2R:22056467-22057681
CG13501 2R:22058904-22061517
Snp 2R:22060950-22069757
CG44249 2R:22066883-22068372
CG11475 2R:22069725-22071286
CG11474 2R:22071234-22073443
CG2921 2R:22073538-22075308
GlcT-1 2R:22075988-22079381
Synj 2R:22080176-22085767
CG13502 2R:22085782-22088727
CG43393 2R:22089423-22090691
CG44163 2R:22090795-22091395
CG11073 2R:22091489-22099534
CG6613 2R:22103177-22105963
Vrp1 2R:22106107-22122562
CG30280 2R:22113589-22114841
CG30281 2R:22114997-22116189
mei-S332 2R:22122101-22124566
GM130 2R:22124567-22127502
NtR 2R:22127808-22130184
CG34205 2R:22130112-22131299
a 2R:22136968-22172834
CG11269 2R:22138895-22139295
gom 2R:22139935-22141364
CG34206 2R:22163738-22164594
CG3045 2R:22172803-22174691
CG6758 2R:22174922-22177428
CR45151 2R:22174951-22176707
CG11170 2R:22177419-22182879
CG11275 2R:22179695-22182642
MED16 2R:22183138-22185892
Vps35 2R:22185972-22189886
Swim 2R:22189817-22202671
snoRNA:Or-CD1 2R:22197269-22197374
CR45376 2R:22201508-22203045
CG3292 2R:22203694-22205593
Alp2 2R:22206005-22207987
CG3264 2R:22208464-22210765
CG11291 2R:22211371-22212704
ari-2 2R:22212835-22217264
CG30278 2R:22217285-22218500
Oatp58Da 2R:22218456-22220905
Oatp58Db 2R:22221180-22223499
Oatp58Dc 2R:22223681-22228574
CR44755 2R:22236295-22236795
dve 2R:22243963-22286469
CR43422 2R:22291717-22292395
CG5819 2R:22293400-22296955
wdp 2R:22298214-22311937
CR44758 2R:22312876-22316604
Gp150 2R:22317662-22329416
CR44756 2R:22318995-22320895
CG34207 2R:22329195-22329720
T3dh 2R:22329726-22332072
pgc 2R:22330200-22332813
CG34208 2R:22333126-22333505
Liprin-gamma 2R:22333500-22373109
CG11298 2R:22348307-22348875
CR44759 2R:22373695-22374966
Rtf1 2R:22375090-22378484
CR45327 2R:22378263-22379007
wrapper 2R:22379637-22382675
CG13506 2R:22383134-22394015
CR44757 2R:22387395-22387895
babos 2R:22393876-22402059
CR44760 2R:22402895-22403195
CG6044 2R:22404177-22408540
VepD 2R:22408525-22409342
qkr58E-3 2R:22409208-22411545
Mes4 2R:22411789-22412582
qkr58E-1 2R:22412556-22415518
qkr58E-2 2R:22415560-22419001
CR45152 2R:22415795-22416462
mRpS29 2R:22418937-22420376
rad50 2R:22421013-22425482
CG10344 2R:22425733-22426977
ppk12 2R:22427479-22429584
CG10384 2R:22454741-22472995
CG45062 2R:22472995-22476314
CG45063 2R:22476385-22477295
CG4752 2R:22478379-22483054
CG4554 2R:22483303-22492033
CG4610 2R:22492197-22494295
px 2R:22494297-22562065
gas 2R:22550094-22552113
CG11362 2R:22562307-22563131
dnr1 2R:22563152-22592964
CG3927 2R:22594677-22596348
CR45328 2R:22596486-22597125
CG4269 2R:22597245-22600695
CG4294 2R:22600405-22605667
RpS16 2R:22605745-22607995
snoRNA:Me28S-G2173 2R:22606795-22606861
snoRNA:Psi28S-1175a 2R:22607085-22607220
snoRNA:Psi28S-1175b 2R:22607232-22607372
snoRNA:Psi28S-1175c 2R:22607385-22607520
snoRNA:Or-aca1 2R:22607544-22607678
Vps20 2R:22608310-22609419
CG4329 2R:22609334-22613376
CG33143 2R:22614328-22634084
CG17807 2R:22634019-22635942
Cdk9 2R:22636063-22637727
bonsai 2R:22637770-22638868
CG3732 2R:22638807-22640201
RpS24 2R:22640526-22641419
Ugt58Fa 2R:22641786-22643917
CG2852 2R:22644646-22646344
CG30195 2R:22646616-22647245
CG34446 2R:22647458-22647807
CG34445 2R:22647892-22648478
CG3746 2R:22648995-22649750
nsr 2R:22650556-22653595
Cyp6d2 2R:22652573-22654530
CG30196 2R:22654805-22655392
CG43325 2R:22655549-22657135
CG43326 2R:22655549-22656998
CR45268 2R:22655635-22656496
CG13510 2R:22657901-22661389
CG13511 2R:22657901-22661389
CG42565 2R:22657901-22661389
CG42566 2R:22661934-22663241
CG4250 2R:22663692-22664474
CG42867 2R:22665646-22666145
CR45269 2R:22666125-22666605
CR42868 2R:22666359-22666764
CG30269 2R:22667155-22668848
CG30273 2R:22667155-22668848
CG13516 2R:22669145-22670622
RYBP 2R:22670587-22673212
CR44761 2R:22673195-22673695
Ppa 2R:22684955-22688987
CR44762 2R:22689095-22689395
CR44763 2R:22689495-22690295
CR44764 2R:22690495-22691895
robo1 2R:22692524-22700970
CG30259 2R:22701345-22704447
Obp59a 2R:22702695-22703786
Obp58b 2R:22704704-22705639
Obp58c 2R:22705872-22706678
Obp58d 2R:22706934-22707772
CR43735 2R:22707777-22708542
CG30275 2R:22707794-22712724
CG30268 2R:22712701-22717247
jbug 2R:22717321-22740459
CG42260 2R:22740999-22798289
CG13526 2R:22755219-22755896
CR30267 2R:22756165-22758995
CG13527 2R:22763706-22765422
CG30270 2R:22784304-22784932
blw 2R:22799099-22802180
CycB 2R:22803521-22806948
stl 2R:22807860-22815993
CG30271 2R:22816474-22822111
CG42284 2R:22821430-22828903
CG30274 2R:22825093-22828903
MFS1 2R:22829644-22831877
CG30265 2R:22832456-22834580
CG12490 2R:22834647-22836701
CG9825 2R:22837361-22839291
CG9826 2R:22840739-22842977
CG3649 2R:22845977-22847911
CG13531 2R:22847832-22853827
RpL23 2R:22854383-22855694
inaD 2R:22855688-22858794
fd59A 2R:22868159-22870706
CG13532 2R:22871190-22874427
CR45469 2R:22874578-22875172
PIP5K59B 2R:22874769-22881436
EMC8-9 2R:22881322-22882690
YME1L 2R:22882747-22886247
asrij 2R:22886398-22887578
Gmer 2R:22887574-22888857
MED23 2R:22888928-22894425
CG3700 2R:22894435-22895745
nahoda 2R:22896174-22916719
CG30187 2R:22916843-22918790
Nup214 2R:22918937-22924742
Reep1 2R:22925107-22932044
CG3788 2R:22932035-22934077
CNBP 2R:22934569-22937077
CG9849 2R:22937279-22939025
CG3831 2R:22938987-22941169
CG42694 2R:22941877-22945147
mir-9376 2R:22946867-22946942
CR32835 2R:22951148-22953800
CR44780 2R:22957177-22957377
CG32834 2R:22982542-22984293
CG32833 2R:22984273-22985334
mir-4939 2R:22985211-22985319
CR42742 2R:22985374-22986549
twi 2R:22985374-23048325
CG9897 2R:22985420-22986339
CG9896 2R:22993669-22998884
CG42741 2R:23011078-23042943
CG44252 2R:23055474-23061549
CG44253 2R:23058248-23058793
DCTN3-p24 2R:23061420-23062593
CG9890 2R:23062747-23064260
PPO3 2R:23064769-23067183
l(2)k09913 2R:23067196-23071875
tRNA:Ser-TGA-1-1 2R:23072019-23072100
tRNA:Ser-TGA-2-1 2R:23072581-23072662
Fib 2R:23072909-23074725
snoRNA:229 2R:23073829-23073968
CG3085 2R:23074823-23076857
Art7 2R:23076688-23079038
CG43659 2R:23079380-23079715
Gr59a 2R:23080561-23081725
Gr59b 2R:23082203-23083366
CG9877 2R:23085881-23086268
CG13538 2R:23087177-23088165
CG9876 2R:23090100-23094266
RpL37b 2R:23100057-23100478
CG42703 2R:23101232-23101777
Gr59c 2R:23102477-23103733
Gr59d 2R:23103941-23105169
CR44781 2R:23109977-23111177
CR44782 2R:23113577-23114377
Klp59C 2R:23123923-23126042
CR44455 2R:23127604-23128077
CR44456 2R:23128077-23128477
CG3215 2R:23128604-23130189
CG30192 2R:23138589-23139085
CG13544 2R:23139080-23140577
Klp59D 2R:23141999-23144497
CG43207 2R:23152748-23153318
CG9899 2R:23153854-23162077
CG13545 2R:23157577-23158185
CG34371 2R:23163012-23203973
CG13539 2R:23183977-23185288
LS2 2R:23210130-23211539
CG3092 2R:23232626-23233927
yip3 2R:23244044-23245399
RpL22-like 2R:23246610-23247893
CG12782 2R:23264269-23265543
CG13540 2R:23270477-23271059
ord 2R:23271257-23275536
CG3124 2R:23282743-23284113
CG13541 2R:23284227-23285821
CR44783 2R:23290677-23291377
Prosbeta5R1 2R:23308654-23309816
HP1Lcsd 2R:23313017-23313854
CG30412 2R:23318189-23319348
CG30416 2R:23321481-23323399
CG9861 2R:23323659-23326745
tbrd-3 2R:23326739-23327581
CG30413 2R:23329543-23330068
CG3502 2R:23343405-23347641
CG9863 2R:23346635-23347768
CG34210 2R:23351518-23352144
CR30409 2R:23354367-23355321
Rpi 2R:23355183-23356441
CG3500 2R:23356372-23357565
CG9875 2R:23357660-23358508
CR44168 2R:23358478-23358961
CG34423 2R:23358612-23359204
CG34424 2R:23359215-23360266
vir 2R:23360192-23366355
Ice1 2R:23366866-23371459
Golgin245 2R:23371360-23377045
CG13551 2R:23377866-23383424
yellow-d 2R:23378573-23380438
yellow-d2 2R:23381197-23382591
CR44784 2R:23383483-23384177
CG30414 2R:23384200-23385468
roh 2R:23385464-23386463
eIF2Bdelta 2R:23386521-23389052
CG3530 2R:23389009-23396680
CG3520 2R:23396770-23402309
CG9812 2R:23412320-23419684
CG30411 2R:23415939-23417238
CG9815 2R:23421521-23433354
Or59a 2R:23439868-23441065
CG43795 2R:23444137-23491997
SkpF 2R:23458065-23458759
Or59b 2R:23470165-23471775
Or59c 2R:23472300-23473753
CG13557 2R:23475698-23476418
CR43792 2R:23476577-23477078
CR43793 2R:23477078-23477477
CG13558 2R:23499651-23500702
CG13559 2R:23502946-23503815
CR43794 2R:23507078-23507832
CG3906 2R:23511286-23512225
RabX1 2R:23519839-23523613
mi 2R:23523856-23528260
bw 2R:23527805-23538499
ppk3 2R:23538631-23540773
Gr59e 2R:23541054-23542379
Gr59f 2R:23542510-23543885
AIMP3 2R:23544024-23544901
wmd 2R:23544823-23548151
levy 2R:23548239-23548982
pita 2R:23548967-23554712
Dcp-1 2R:23551313-23553547
Rrp4 2R:23555018-23556217
ItgaPS5 2R:23556672-23560263
Pi3K59F 2R:23560492-23564045
CG30184 2R:23563973-23564780
apt 2R:23564891-23599526
CG42559 2R:23599526-23600787
CG42560 2R:23599526-23600787
IM18 2R:23600914-23601773
CG10332 2R:23600914-23601773
CG43209 2R:23601981-23602456
Eglp1 2R:23602585-23603641
Eglp2 2R:23603722-23616754
Eglp3 2R:23605689-23606654
Eglp4 2R:23607592-23614710
retn 2R:23632610-23654820
CR45153 2R:23638377-23639094
Pde8 2R:23657567-23680844
St1 2R:23681623-23682952
St3 2R:23683377-23687980
l(2)efl 2R:23684651-23685543
Pal2 2R:23688077-23690838
CG30183 2R:23690247-23697824
angel 2R:23694003-23695232
mRpL43 2R:23698105-23699014
sigmar 2R:23698949-23702406
l(2)dtl 2R:23702477-23705403
l(2)not 2R:23705439-23709792
l(2)tid 2R:23706913-23709026
CR45326 2R:23709177-23709947
Sesn 2R:23713900-23734846
CG18128 2R:23718798-23719936
CR45325 2R:23720320-23721007
mir-4979 2R:23734033-23734141
egl 2R:23734904-23746829
CG13560 2R:23747560-23748477
CG34105 2R:23749318-23749891
CG12491 2R:23750646-23751225
CG11300 2R:23751915-23752495
CG5532 2R:23752754-23753515
sona 2R:23753477-23798395
CG15800 2R:23790614-23791227
CG30177 2R:23801542-23803070
CG13561 2R:23804315-23806249
CG5539 2R:23804811-23806144
Ssrp 2R:23806361-23809004
CG5543 2R:23809236-23811398
Nxt1 2R:23811321-23811974
CR44807 2R:23812185-23814771
CG4797 2R:23812185-23818327
CG5549 2R:23820354-23839864
CG4763 2R:23823357-23824868
snoRNA:Psi18S-176 2R:23839911-23840064
CR44805 2R:23840577-23840777
shu 2R:23841461-23843286
Snap29 2R:23843483-23844763
CG5554 2R:23845001-23847024
ytr 2R:23847161-23851480
eIF6 2R:23849246-23850301
CR45928 2R:23850330-23851500
gbb 2R:23851562-23853247
bgcn 2R:23853270-23858921
Pym 2R:23855954-23856936
TBPH 2R:23859067-23862593
CG4585 2R:23862962-23865398
CG5569 2R:23865414-23866654
Thiolase 2R:23866648-23868603
ken 2R:23870273-23877442
TM4SF 2R:23878197-23880860
CG4882 2R:23880817-23882927
PHDP 2R:23883136-23884440
CG5597 2R:23886973-23888777
DCP1 2R:23888764-23890276
DNA-ligI 2R:23890512-23893177
Upf3 2R:23893066-23894987
CG17658 2R:23895063-23896997
CG5339 2R:23896896-23898246
Lpt 2R:23898561-23903661
CG13562 2R:23903750-23905269
Nap1 2R:23905175-23907294
CR45926 2R:23905334-23906700
kcc 2R:23907654-23925066
CR44806 2R:23908474-23908875
SERCA 2R:23925077-23935884
CG2812 2R:23925236-23926911
CG3735 2R:23937077-23939754
Taldo 2R:23940410-23942114
Galphas 2R:23942538-23946936
Orcokinin 2R:23946959-23949076
CG2970 2R:23949201-23952459
fzr2 2R:23950647-23952096
CG3803 2R:23952513-23954048
thoc5 2R:23954091-23956406
CG16787 2R:23956335-23957405
alpha-Catr 2R:23957842-23961631
CG13566 2R:23961477-23962577
Fmo-1 2R:23962956-23964641
Alas 2R:23964772-23966757
CG34213 2R:23967124-23967745
or 2R:23967939-23968943
CG10904 2R:23968941-23970073
CG3065 2R:23970305-23972233
mr 2R:23972431-23975408
PPP1R15 2R:23975599-23977255
Sox14 2R:23978801-23985177
Phm 2R:23985175-23988455
CG30178 2R:23986615-23987308
Pask 2R:23988738-23992049
CG3860 2R:23992138-23995055
mir-1009 2R:23993054-23993114
Unc-89 2R:23995543-24014254
CG4324 2R:24014917-24017198
CG3121 2R:24017421-24019896
CG3907 2R:24019898-24022298
CG11388 2R:24022343-24023981
CR45350 2R:24024098-24025777
Adk2 2R:24024207-24025877
EbpIII 2R:24026172-24027518
HSPC300 2R:24027717-24028789
CG3163 2R:24029317-24030555
CG30172 2R:24030546-24031427
Chi 2R:24031538-24033943
MAN1 2R:24033974-24036707
Not11 2R:24036720-24037915
IntS1 2R:24037943-24044458
tsr 2R:24044453-24046805
gammaSnap1 2R:24047145-24048903
sei 2R:24047411-24053035
ppk29 2R:24052917-24057137
CG13563 2R:24055306-24057599
eEF5 2R:24057798-24059483
CR44814 2R:24059477-24059913
RpL12 2R:24060378-24061860
RpL39 2R:24061853-24062431
Rap2l 2R:24063051-24065405
yki 2R:24065975-24068485
CG3209 2R:24068757-24073552
Mlp60A 2R:24074602-24078223
CG10339 2R:24078234-24080527
CG13564 2R:24080925-24081424
CG16786 2R:24081782-24086287
snama 2R:24086604-24092014
gek 2R:24092079-24098636
enok 2R:24099210-24107032
CG4049 2R:24107087-24114292
CG3253 2R:24114398-24116359
CG3257 2R:24116792-24123263
CG43775 2R:24123167-24126630
CG43777 2R:24123167-24126630
CG43776 2R:24123167-24126630
tamo 2R:24126638-24133551
Zfrp8 2R:24133989-24135405
Naa35 2R:24135180-24138050
CR44826 2R:24138629-24139127
Dat 2R:24139563-24157762
DnaJ-60 2R:24157668-24159312
CG42568 2R:24157668-24159312
spag 2R:24159384-24161503
CG3328 2R:24162489-24173660
mRpS17 2R:24173665-24174441
Nop60B 2R:24174877-24186343
snoRNA:Psi18S-1820 2R:24176228-24176367
snoRNA:Me28S-G1083a 2R:24184840-24184923
snoRNA:Me28S-G1083b 2R:24185087-24185169
snoRNA:Me28S-G1083c 2R:24185323-24185405
snoRNA:Me28S-G1083d 2R:24185562-24185644
snoRNA:Or-CD9a 2R:24185825-24185922
snoRNA:Or-CD9b 2R:24186062-24186152
ocm 2R:24186703-24195290
cN-IIIB 2R:24195498-24197027
CG3356 2R:24197824-24202187
CG11406 2R:24202091-24208203
CG30419 2R:24212491-24229795
CR44827 2R:24237477-24238477
nord 2R:24243255-24255094
Ir60a 2R:24249055-24251303
snoRNA:Me18S-A1597 2R:24251269-24251384
CG13575 2R:24255327-24257414
CG3376 2R:24258013-24265213
CG13577 2R:24267377-24269179
nvy 2R:24275734-24291084
CG3394 2R:24294097-24298111
mir-4985 2R:24294231-24294331
betaTub60D 2R:24305881-24313099
CR44810 2R:24325027-24330277
slbo 2R:24331522-24334307
CR44282 2R:24334785-24335976
bs 2R:24342861-24376473
CG44812 2R:24350969-24351389
CR44811 2R:24351477-24369689
tRNA:Asn-GTT-1-9 2R:24374063-24374136
CG13578 2R:24377831-24378740
mAChR-A 2R:24378630-24390294
CR44813 2R:24390777-24391977
Slik 2R:24392129-24402680
Rpn8 2R:24400028-24404527
SerT 2R:24404595-24411074
CG45069 2R:24411870-24415295
PIG-Z 2R:24411870-24415295
prom 2R:24415410-24428387
CG42383 2R:24423926-24425102
CG15873 2R:24429578-24430699
Pgam5-2 2R:24431344-24432733
CG3483 2R:24445500-24446839
CG4563 2R:24451084-24453040
CG13579 2R:24455292-24490656
CG3492 2R:24472712-24474226
CG3494 2R:24474299-24475261
CG16837 2R:24475386-24476032
CG13589 2R:24492214-24492855
CG13590 2R:24493256-24493948
Crtp 2R:24494518-24497024
Yu 2R:24498083-24498669
Ssl 2R:24499243-24500267
Prosalpha4T2 2R:24500780-24502277
CG13581 2R:24506870-24507706
Letm1 2R:24509508-24515320
Ir60b 2R:24515685-24517458
Ir60c 2R:24517824-24519152
Ir60d 2R:24519423-24521147
Ir60f 2R:24521369-24521829
CG4612 2R:24521874-24526089
Brca2 2R:24526172-24529581
Ir60e 2R:24529554-24531272
CG13585 2R:24531594-24533391
CG4622 2R:24533374-24556300
CG11413 2R:24536190-24536791
ITP 2R:24537421-24558961
Nurf-38 2R:24558967-24561087
CG11414 2R:24561607-24565058
uri 2R:24565554-24568082
Fcp1 2R:24567987-24571821
CG3511 2R:24571627-24574503
Start1 2R:24574559-24577676
SIFa 2R:24577566-24578143
CG4681 2R:24578247-24579827
pio 2R:24581245-24597862
CG13587 2R:24597995-24599091
ATPsynF 2R:24599088-24599821
CG3548 2R:24599947-24602367
CG3565 2R:24602472-24603488
CG3570 2R:24603572-24604670
CG4707 2R:24604595-24607023
CG42360 2R:24607267-24610847
CG42361 2R:24607673-24608788
CG4741 2R:24610801-24615158
Adck 2R:24611703-24613906
CG13594 2R:24615423-24638588
snoRNA:Me18S-G393 2R:24628627-24628744
CR43787 2R:24630901-24632932
Cyp9c1 2R:24631063-24632923
CG3640 2R:24639688-24640756
CG4781 2R:24640683-24642239
CG3663 2R:24661503-24662409
Cpr60D 2R:24662682-24663406
CG30161 2R:24663532-24664377
ND-19 2R:24664398-24665439
CG34214 2R:24665427-24666022
CG4806 2R:24666158-24668343
CG33228 2R:24668411-24669330
Pof 2R:24669397-24671577
Mmp1 2R:24671294-24688184
ST6Gal 2R:24691422-24694386
Mid1 2R:24695378-24736657
CR44828 2R:24738777-24739377
Usp15-31 2R:24743749-24756976
spz6 2R:24757378-24760466
CG3880 2R:24760664-24762605
CG12848 2R:24762566-24763094
CG3894 2R:24763167-24766750
GstE12 2R:24766718-24768172
Eps-15 2R:24768314-24775265
egg 2R:24775534-24779901
CR44067 2R:24775711-24779987
Lcp9 2R:24779979-24780428
CG3594 2R:24780917-24781779
TyrRS-m 2R:24781726-24783500
CG3589 2R:24783555-24785542
key 2R:24785514-24787411
Reg-5 2R:24788008-24793410
CR43257 2R:24793807-24795772
ETH 2R:24794670-24795482
Orc4 2R:24795740-24797414
CG12849 2R:24797925-24798613
CG3611 2R:24798798-24800776
CG42851 2R:24809325-24810107
Dll 2R:24814822-24835667
CG3650 2R:24848994-24850200
CR44829 2R:24859260-24860177
Atf-2 2R:24870108-24871509
CG16896 2R:24871407-24874912
CG30423 2R:24874976-24875865
CG44247 2R:24876691-24881221
CR43466 2R:24881130-24881817
NKAIN 2R:24881570-24888615
Ance-5 2R:24888628-24891023
NaCP60E 2R:24891614-24921677
Tpc2 2R:24897902-24900734
CG9083 2R:24898273-24899505
RpL41 2R:24903416-24903935
pain 2R:24921505-24928275
CG30427 2R:24928747-24937477
CG3760 2R:24938181-24939769
CG2811 2R:24939706-24940483
Tina-1 2R:24940625-24942413
CG15861 2R:24943392-24945201
CG3770 2R:24945139-24946636
CG2790 2R:24946561-24948378
CG12851 2R:24948645-24955677
CR44830 2R:24955777-24957359
CG2765 2R:24959841-24965076
CG30424 2R:24965275-24967298
RpL19 2R:24967877-24969547
CG3776 2R:24969678-24970855
Phk-3 2R:24970843-24973207
CG2736 2R:24973431-24975341
CR45252 2R:24975377-24975887
emp 2R:24976456-24986070
CG3829 2R:24986044-24990489
zip 2R:24990570-25011965
uzip 2R:25012062-25031737
Nplp1 2R:25032377-25040377
gsb-n 2R:25040383-25052331
gsb 2R:25061964-25064643
gol 2R:25072627-25084347
tRNA:Ala-CGC-1-1 2R:25076005-25076076
tRNA:Ala-CGC-1-2 2R:25076765-25076836
tRNA:Ala-CGC-1-3 2R:25077048-25077119
lov 2R:25085780-25139627
CG30430 2R:25129432-25129985
CG43106 2R:25138627-25139627
CG34038 2R:25167659-25169855
Sfp60F 2R:25172245-25172695
EbpII 2R:25173568-25174230
Ebp 2R:25175126-25176715
CG9380 2R:25183628-25255318
Kr 2R:25226611-25231394
CG30429 2R:25246467-25247584
CG33680 2R:25249007-25250316
CG30428 2R:25251927-25254535
CR40469 X:122493-122706
CG17636 X:124370-126714
RhoGAP1A X:127449-140340
mir-4915 X:133385-133502
CR45473 X:140973-142197
tyn X:142208-200663
CG17707 X:142731-148426
CR43863 X:151691-152279
CG3038 X:243954-245856
G9a X:245978-254650
CG42376 X:254876-255524
cin X:255674-258469
CG13377 X:258335-263999
CR43906 X:258465-267253
CG13376 X:265724-267028
ewg X:268509-279718
CG3777 X:279703-350504
mir-980 X:280172-280269
CG13375 X:283186-294962
CG12470 X:307684-308935
Or1a X:315123-316566
CG32816 X:316576-470726
CG43181 X:350566-351133
CG43182 X:353067-353317
y X:356509-361245
yar X:362399-367072
ac X:370031-370947
CR44751 X:376987-377642
CR44752 X:385558-386274
CR44753 X:391835-393227
sc X:396060-397497
l(1)sc X:409721-410817
Pgcl X:436139-437448
ase X:460747-463176
Cyp4g1 X:467057-469335
ebo X:471019-476579
CR18275 X:476857-479309
CG13373 X:476984-478191
CG32817 X:479066-480166
CR18166 X:479864-481826
CG3176 X:481862-482768
CG18273 X:482777-487581
CG3156 X:487878-490725
CR45797 X:487898-488333
CG17896 X:490787-493495
CG17778 X:494614-496369
svr X:496446-509072
CR44891 X:496597-497374
CR44892 X:498097-499456
elav X:509235-523226
arg X:509435-528028
CG4293 X:527941-530291
Appl X:530501-579044
mir-4960 X:569903-570003
vnd X:582121-598151
CG13366 X:585081-620195
CR45474 X:620282-620729
CG13365 X:620717-621215
Vsp37A X:621530-623051
CG13369 X:623468-624765
CG13364 X:624757-625203
CR45475 X:625247-625661
CG17829 X:625542-628016
RpL36 X:628338-629483
l(1)1Bi X:629773-633633
Dredd X:633622-635545
mir-9372 X:633691-633751
su(sable) X:635890-643760
CR44839 X:644226-644616
CG13367 X:644761-646386
Roc1a X:647304-648597
Hmt4-20 X:648483-656033
SkpA X:656114-657899
sdk X:686834-749496
CG13362 X:749241-751301
CG5254 X:750347-758719
CG13361 X:752011-753653
CG5273 X:759594-761939
CR44965 X:761976-762500
RpL22 X:762560-765130
CR42491 X:762615-763810
snoRNA:Psi18S-531 X:763083-763234
snoRNA:Psi28S-2179 X:763942-764086
CR44966 X:765288-766100
fz3 X:769945-784222
tw X:784746-788215
CG13360 X:787855-790089
CR44469 X:790284-790566
CG16989 X:793147-797061
Rbf X:797090-801479
CG13359 X:801669-803470
CG13358 X:803424-804921
Sec22 X:806076-808200
CG43867 X:808217-927975
CG14635 X:844823-845297
CG3713 X:846171-847157
CG14634 X:862608-863200
CG11664 X:875732-876612
CG11663 X:894482-895200
CG3711 X:922889-927582
MED22 X:928139-928860
CG3708 X:928798-930098
CG3706 X:930931-932475
CG32815 X:932466-939424
TRAM X:935232-937822
CG3704 X:939170-940805
mus81 X:941075-943229
CG3703 X:942474-945773
CG3699 X:946662-947500
CG3690 X:948585-951900
CR45476 X:968496-968741
CG18823 X:990518-991184
TfIIA-S-2 X:1011101-1011643
CG14631 X:1012035-1012624
su(w[a]) X:1012779-1046040
CG11638 X:1013984-1026703
CG32814 X:1019795-1026700
CG3021 X:1026791-1028290
CDC45L X:1028291-1030556
CG33082 X:1030758-1033119
CG14630 X:1031496-1033165
CG42259 X:1046224-1047009
CR44779 X:1047242-1088866
CG14629 X:1051525-1052631
CG3655 X:1073041-1134896
CG14628 X:1145644-1146132
eIF4E7 X:1158599-1162389
CR34320 X:1163620-1164105
CG11378 X:1170828-1173797
CG11384 X:1173877-1176035
CG11379 X:1180165-1181551
CG14627 X:1181620-1183502
CG14626 X:1184778-1188585
CG11380 X:1191308-1196660
CG14625 X:1199546-1203157
CG11381 X:1203777-1205433
CG14624 X:1206737-1207555
CG11382 X:1209970-1211853
CG11398 X:1211989-1215156
CG3638 X:1215289-1236684
CG11403 X:1236873-1239884
Atf3 X:1242740-1275284
CG32812 X:1287290-1288945
DAAM X:1289713-1322362
CG32811 X:1297984-1298387
CR46248 X:1299770-1300333
fs(1)N X:1322513-1329438
CG11409 X:1329518-1341587
Naa30A X:1342106-1344770
MTPAP X:1344872-1349357
Tsp2A X:1346553-1348143
CG12773 X:1349623-1353981
CG11417 X:1354014-1356473
png X:1356488-1357601
CG14770 X:1369249-1370176
ssx X:1370580-1375257
mir-4961 X:1373623-1373755
AMPKalpha X:1375536-1378896
CG3719 X:1378885-1380480
CG32813 X:1380914-1392843
CG11448 X:1393054-1397337
futsch X:1409069-1453686
Gr2a X:1452430-1454177
CG14785 X:1455215-1457054
Lrpprc2 X:1457175-1460617
CG14787 X:1460807-1461676
Ns3 X:1461844-1464220
O-fut2 X:1464363-1465996
CG14777 X:1466134-1468692
CG14778 X:1467493-1470614
CG32808 X:1468693-1469817
pck X:1470666-1472325
CG14780 X:1472522-1473727
Rab27 X:1473884-1476974
mei-38 X:1477063-1481420
rush X:1478552-1481420
